########################################################################
# OMI slit function: w(x) = exp(-c x^4) 
#
# pixel number	distance (km)	c (km^-4)
# ----------------------------------------------------------------------
0	1595.977	1.841984e-05
1	1463.852	2.602574e-05
2	1359.324	3.500261e-05
3	1273.840	4.538706e-05
4	1202.318	5.718924e-05
5	1141.466	7.039465e-05
6	1089.024	8.496526e-05
7	1043.379	1.008380e-04
8	1003.333	1.179267e-04
9	 967.978	1.361226e-04
10	 936.607	1.552965e-04
11	 908.665	1.752980e-04
12	 883.701	1.959617e-04
13	 861.351	2.171059e-04
14	 841.314	2.385385e-04
15	 823.347	2.600523e-04
16	 807.240	2.814368e-04
17	 792.821	3.024756e-04
18	 779.942	3.229557e-04
19	 768.481	3.426565e-04
20	 758.330	3.613757e-04
21	 749.403	3.789040e-04
22	 741.628	3.950464e-04
23	 734.935	4.096340e-04
24	 729.276	4.224977e-04
25	 724.605	4.334982e-04
26	 720.889	4.425046e-04
27	 718.099	4.494212e-04
28	 716.215	4.541699e-04
29	 715.224	4.566923e-04
30	 715.120	4.569587e-04
31	 715.898	4.549759e-04
32	 717.567	4.507562e-04
33	 720.135	4.443614e-04
34	 723.625	4.358513e-04
35	 728.060	4.253278e-04
36	 733.470	4.129168e-04
37	 739.901	3.987465e-04
38	 747.399	3.829856e-04
39	 756.025	3.658033e-04
40	 765.849	3.473909e-04
41	 776.962	3.279383e-04
42	 789.460	3.076606e-04
43	 803.461	2.867692e-04
44	 819.107	2.654783e-04
45	 836.565	2.440013e-04
46	 856.032	2.225520e-04
47	 877.748	2.013317e-04
48	 901.998	1.805381e-04
49	 929.133	1.603540e-04
50	 959.577	1.409524e-04
51	 993.868	1.224834e-04
52	1032.675	1.050842e-04
53	1076.858	8.887047e-05
54	1127.550	7.393477e-05
55	1186.267	6.034792e-05
56	1255.112	4.815731e-05
57	1337.126	3.738547e-05
58	1436.951	2.803009e-05
59	1562.219	2.006432e-05

